cpg,chr,pos
cg09259420,chr5,201617
cg20194856,chr15,82692419
cg06297031,chr9,105138456
cg04915302,chr8,73661655
cg11727818,chr15,80758735
cg04751533,chr4,7788434
cg02316705,chr6,5730287
cg10948471,chr3,185285202
cg00178030,chr16,16068381
cg24865494,chr1,151232666
cg03035036,chr3,38506616
cg19163612,chr1,35869568
cg19314059,chr11,6557984
cg00549973,chr6,165715194
cg08663152,chr19,47741262
cg06626314,chr1,247175335
cg17128082,chr4,88963461
cg04430954,chr3,52889452
cg15760858,chr1,21811616
cg11266078,chr16,102251
cg05037455,chr2,237510655
cg08627531,chr8,125997623
cg21247757,chr5,134893228
cg00652189,chr4,53157955
cg25354918,chr2,99554304
cg01488190,chr17,17385630
cg07819357,chr11,13352307
cg22566663,chr10,84175651
cg13183781,chr1,107673710
cg01468014,chr3,142408303
cg05845018,chr1,50653738
cg20620756,chr5,37620361
cg27631005,chr1,173918146
cg21511563,chr2,231194842
cg23163386,chr3,2484945
cg07304186,chr6,38144502
cg08235881,chr7,35724780
cg16028171,chr13,110907729
cg02416498,chr19,2139541
cg16013943,chr1,182829471
cg04557582,chr7,129438096
cg04951140,chr4,153640003
cg17173891,chr6,87257674
cg17474422,chr1,35574265
cg14638384,chr7,1964450
cg14090920,chr6,163490104
cg07919232,chr18,48693686
cg08224051,chr3,123950536
cg13316650,chr18,80187813
cg00992795,chr8,47778795
cg04008445,chr3,115069500
cg04378830,chr16,89898951
cg22880475,chr6,24980315
cg02173453,chr4,155758297
cg01197090,chr4,77742796
cg17769705,chr8,27776484
cg16952841,chr2,102069798
cg01145604,chr6,156884476
cg04459211,chr20,25016933
cg16442814,chr11,76796164
cg04350066,chr20,33006254
cg04501624,chr8,1705013
cg08799386,chr10,77587788
cg15541838,chr14,50450689
cg23609650,chr1,26961285
cg07153868,chr7,1014715
cg10485774,chr3,75785689
cg00935819,chr1,150700143
cg13986860,chr13,30764284
cg14898670,chr3,70984577
cg10471086,chr5,154837463
cg03217233,chr15,31021193
cg08114265,chr6,111731153
cg20856444,chr20,2347594
cg03939719,chr12,48985279
cg06830486,chr6,151408715
cg01881761,chr2,169510451
cg07797431,chr5,37014078
cg03112417,chr13,111981327
cg26866885,chr12,132790657
cg24315815,chr3,146251792
cg01676332,chr7,2439078
cg14418592,chr6,30692887
cg21189849,chr9,94980749
cg00685969,chr6,117458579
cg18008467,chr2,235678066
cg01623955,chr3,32699662
cg18272518,chr15,71366892
cg08493904,chr2,70280284
cg26728980,chr12,10131694
cg17012154,chr7,2235395
cg17812839,chr1,183419288
cg18497502,chr14,77759410
cg13008553,chr2,11215589
cg20501958,chr11,234764
cg10827479,chr1,152088887
cg01868112,chr7,55645493
cg11408729,chr11,122814600
cg15064691,chr7,66396994
cg17649171,chr1,54654397
cg21010653,chr21,31278845
cg23294208,chr19,19221265
cg19157956,chr1,42469304
cg27147281,chr17,44629487
cg22619307,chr7,157260458
cg11423112,chr17,81854158
cg03987324,chr1,84477776
cg24006721,chr1,24931734
cg08442713,chr5,118486524
cg06219572,chr9,37484902
cg04938745,chr14,100333677
cg17334840,chr2,168907322
cg03977592,chr5,868935
cg03862043,chr21,31336094
cg10053495,chr18,21672984
cg02343803,chr19,57788759
cg06809364,chr3,152837417
cg05376543,chr2,218746703
cg24611115,chr3,33110953
cg01370111,chr6,31611585
cg26989363,chr2,241481861
cg20756454,chr17,30624379
cg07170263,chr15,65073464
cg13525013,chr10,97149205
cg01314715,chr16,48334544
cg17947569,chr8,47806022
cg04432454,chr16,899229
cg02418741,chr12,64204668
cg08607836,chr6,143165563
cg17359336,chr3,45499586
cg06560300,chr5,1278676
cg15073453,chr11,126985305
cg08298497,chr14,23533855
cg01689159,chr11,2796898
cg01019721,chr1,91037709
cg07641540,chr8,70540481
cg24716782,chr8,132958983
cg14101992,chr11,59781733
cg09980876,chr6,149243913
cg08811663,chr2,200808067
cg09997105,chr12,110850090
cg02172669,chr7,149713368
cg09095914,chr4,656092
cg00067676,chr7,76108587
cg03202659,chr2,74754638
cg07935657,chr8,10765295
cg08976526,chr6,32370153
cg00469630,chr19,13770405
cg02096368,chr10,132424623
cg04440724,chr16,4870504
cg25326090,chr19,46694509
cg07228654,chr7,101620474
cg20491816,chr17,81282273
cg00640823,chr5,40381721
cg02924954,chr10,1216955
cg22950487,chr3,113158424
cg20557935,chr15,52192125
cg27377610,chr7,143507798
cg09885756,chr2,27736384
cg12005363,chr8,59061826
cg10872678,chr1,24106860
cg25307471,chr11,125566202
cg26725813,chr15,34984407
cg20246901,chr10,120896907
cg04448141,chr17,64320996
cg23976006,chr12,116018262
cg01785288,chr9,32535485
cg08255598,chr2,74508748
cg21147177,chr11,14273982
cg25882682,chr12,101277066
cg24151423,chr20,62639360
cg03524095,chr20,47371123
cg04514292,chr3,183548170
cg05436371,chr9,94758196
cg25263135,chr6,32167197
cg09683623,chr3,151781592
cg25028072,chr12,131941693
cg11907977,chr20,17860114
cg26574240,chr3,69122671
cg12071679,chr2,168496454
cg06994572,chr12,122207446
cg09925987,chr7,2589666
cg27083640,chr16,1671075
cg10834480,chr6,111607031
cg24413658,chr1,179085152
cg18281014,chr21,43879761
cg00081835,chr3,129247821
cg18224970,chr8,99091875
cg09090353,chr11,67427452
cg01536190,chr1,1537767
cg04756168,chr11,116828873
cg04422752,chr10,100268418
cg24470133,chr1,1547826
cg17565632,chr21,35417417
cg10730575,chr22,29340101
cg07759052,chr8,28894633
cg06281665,chr12,132911263
cg18805486,chr8,12693524
cg26001719,chr8,676801
cg00155447,chr7,100030362
cg09055440,chr17,74823787
cg14398128,chr16,68346105
cg20346417,chr22,39432041
cg11228659,chr7,156435848
cg02081065,chr5,132873447
cg23686516,chr16,75526532
cg24443178,chr15,65518384
cg00465958,chr7,156639832
cg13661243,chr2,176507859
cg18304093,chr19,36149856
cg01438056,chr15,90230338
cg07081561,chr16,56813575
cg15884014,chr17,3292720
cg04423464,chr19,18668778
cg07696502,chr13,100658116
cg02307503,chr1,168279704
cg13595439,chr22,17083860
cg09823652,chr12,22375652
cg21351654,chr3,72144048
cg06083830,chr18,50392
cg10126372,chr8,51809677
cg18507362,chr3,169767022
cg14992835,chr10,68376951
cg02546490,chr17,81122729
cg01381757,chr2,233191775
cg08198936,chr11,71176183
cg12940669,chr4,3229848
cg26812733,chr3,63966426
cg13119546,chr2,70216907
cg11348413,chr8,99784456
cg11128831,chr18,26225641
cg13149412,chr2,3181359
cg18999382,chr3,141242193
cg19892381,chr15,57542204
cg05319180,chr14,74016969
cg24043838,chr10,87952142
cg07151865,chr11,76048991
cg08213792,chr16,77713662
cg16827534,chr3,12291281
cg13712171,chr1,115771300
cg23651838,chr12,76530637
cg14420904,chr7,890827
cg16992594,chr1,2039516
cg01842395,chr17,3982201
cg08989375,chr19,33640906
cg16192746,chr12,117157933
cg00366594,chr19,53752968
cg17673512,chr21,41402100
cg15568998,chr1,15572882
cg11047500,chr14,89163515
cg03075654,chr12,116294791
cg20087776,chr14,30692216
cg12280024,chr2,60833924
cg25418507,chr7,130324489
cg03456821,chr5,138165045
cg22883699,chr12,122280493
cg05199028,chr16,11274655
cg09874859,chr20,45378707
cg13957837,chr9,137811538
cg04173966,chr5,65992438
cg24091949,chr19,44703573
cg08736655,chr9,36196689
cg02135728,chr3,97767769
cg14847996,chr14,67349074
cg17710440,chr16,737071
cg10040625,chr7,28065874
cg07274543,chr14,56649089
cg00137385,chr18,48761634
cg22713165,chr8,128855609
cg02612782,chr3,33412748
cg13925527,chr22,28093967
cg18532273,chr13,114089954
cg21812369,chr12,132052452
cg23731617,chr15,65489250
cg19780614,chr8,29074822
cg02241136,chr11,573673
cg26695444,chr10,42474903
cg23076547,chr7,34039320
cg07493307,chr13,44280570
cg15155865,chr17,39832135
cg12917790,chr14,93137960
cg07163321,chr4,99930544
cg06835050,chr13,25262104
cg16319614,chr2,200829045
cg14670573,chr9,92255240
cg23592851,chr1,94535680
cg20498563,chr3,155728357
cg16027574,chr17,13005121
cg02862761,chr3,142962173
cg25432336,chr2,20448819
cg22755296,chr11,43897275
cg08729414,chr6,156078827
cg17159629,chr11,129126352
cg23373558,chr1,224250294
cg23877512,chr2,206116665
cg12158124,chr2,98484790
cg00460793,chr7,36117411
cg23253309,chr21,45872339
cg26333498,chr20,62306578
cg13152584,chr18,11055851
cg21325040,chr11,114055874
cg06873606,chr13,20051478
cg04496104,chr3,81891615
cg17021894,chr12,50003687
cg18711246,chr13,71675206
cg00379657,chr12,132850098
cg03066425,chr20,58448904
cg20668249,chr4,10074385
cg01311045,chr11,66026720
cg06264868,chr10,732769
cg20080320,chr15,28118714
cg08135460,chr1,16614667
cg02902969,chr10,363491
cg11879277,chr19,36334663
cg00805520,chr20,14035868
cg25997203,chr14,76900877
cg05561775,chr8,42437540
cg10105623,chr19,34403053
cg24502339,chr18,50882283
cg07371693,chr18,50302318
cg03511159,chr13,48231910
cg07720645,chr6,89886597
cg19574566,chr19,6504019
cg08568564,chr16,57175962
cg06214133,chr9,95128679
cg02964716,chr17,29776638
cg23086890,chr21,44922527
cg00186224,chr10,21080389
cg21059665,chr2,241723108
cg25054043,chr3,49368177
cg16996457,chr6,31885858
cg17141807,chr4,37914880
cg22946979,chr5,139290143
cg16888080,chr5,149297289
cg06252160,chr16,78371956
cg18247642,chr12,109082448
cg18689082,chr14,103929092
cg02944108,chr5,103788480
cg14341061,chr16,81901065
cg21575775,chr4,147708736
cg09179999,chr15,77519339
cg06265451,chr9,94809004
cg14008937,chr1,151106903
cg04533549,chr20,58977967
cg19937511,chr9,137833227
cg07815177,chr12,76498225
cg07790342,chr6,166505789
cg22423225,chr6,119336359
cg04289314,chr2,130288907
cg12263318,chr17,2666735
cg07031864,chr5,75021385
cg18315961,chr16,72805754
cg03870188,chr13,113063516
cg08835372,chr10,119941238
cg15732323,chr19,19189483
cg26570680,chr2,241509827
cg21237370,chr2,201700073
cg13140804,chr4,68312886
cg20262915,chr2,190659763
cg10639029,chr5,152566458
cg13539159,chr11,76687826
cg20630716,chr5,177532799
cg22288235,chr4,877016
cg11212901,chr17,22521433
cg04782692,chr17,70128785
cg03757501,chr2,162125920
cg04222494,chr2,198346366
cg05616864,chr1,247842421
cg14980563,chr5,96334800
cg03164527,chr14,34783964
cg16045811,chr9,125445507
cg04758273,chr10,112658547
cg15764949,chr15,52288472
cg14285731,chr12,120107592
cg12711391,chr10,80077628
cg01354167,chr11,66286342
cg11483027,chr21,32425844
cg26446656,chr12,132690157
cg05410283,chr12,130788599
cg07981812,chr7,11749090
cg22828213,chr16,77966829
cg20745523,chr2,168697985
cg02279591,chr5,95653624
cg06784976,chr6,170456511
cg00994644,chr19,49763964
cg06529894,chr7,76395721
cg02432272,chr13,42963695
cg16924099,chr6,138402695
cg07199961,chr2,47354377
cg06550183,chr1,55374936
cg03092550,chr15,63125008
cg00151915,chr12,85996331
cg24254692,chr4,101325818
cg18782118,chr2,218618797
cg01515559,chr12,132052520
cg16796247,chr8,20816989
cg20619600,chr10,8014803
cg19493980,chr10,26717530
cg19978381,chr5,38932448
cg01905618,chr6,109436443
cg15035324,chr2,46042466
cg20731693,chr13,113453561
cg08995655,chr19,32691310
cg02393756,chr18,9912786
cg08492281,chr14,68316635
cg26474724,chr11,9261142
cg23773701,chr7,99447901
cg11866895,chr22,39405922
cg19647783,chr10,24208038
cg09570946,chr10,128150745
cg02295742,chr3,163490120
cg25064618,chr10,78232343
cg23653025,chr3,64456510
cg08610720,chr8,105142477
cg04538473,chr16,931395
cg08681726,chr6,170557116
cg03419961,chr5,139445624
cg19114576,chr17,40885014
cg23925073,chr14,88498596
cg02623469,chr3,51668493
cg21187882,chr1,205787555
cg08882927,chr3,195585006
cg13050070,chr13,93956584
cg05948645,chr8,140368940
cg05606089,chr5,78010478
cg09347582,chr1,233362170
cg17685099,chr11,74254220
cg08109476,chr6,168373227
cg04649794,chr2,239187845
cg05778820,chr1,27145291
cg02313535,chr6,30898202
cg05798911,chr3,69111628
cg11629359,chr5,75523342
cg06386702,chr1,6315220
cg24754598,chr14,95500151
cg18813957,chr16,72579718
cg14152249,chr14,54754086
cg14688238,chr5,43061548
cg10971013,chr17,66994349
cg02150282,chr11,1283813
cg20027215,chr20,36774855
cg07194377,chr2,9967351
cg04210001,chr18,63112564
cg17985269,chr5,133369689
cg22976361,chr15,95887750
cg02455703,chr19,17301463
cg16205163,chr17,47940843
cg20948612,chr7,130134995
cg18554732,chr12,50619570
cg04322709,chr2,231311495
cg22967205,chr6,30707794
cg05382230,chr6,52397464
cg26043322,chr1,159537372
cg16363708,chr16,73288727
cg06496375,chr2,241462143
cg08083988,chr19,37549438
cg15492306,chr11,1886621
cg12528330,chr2,161172698
cg10231021,chr19,18164375
cg09713815,chr11,119073732
cg26490119,chr4,143166904
cg11057080,chr8,60983249
cg25058275,chr7,99444124
cg06593369,chr15,76292863
cg13013538,chr3,126703195
cg03197663,chr1,75951268
cg22884082,chr6,87329305
cg07113520,chr8,93230227
cg27437165,chr10,70703179
cg16363104,chr3,111762494
cg25988408,chr10,87151114
cg12234576,chr7,103319810
cg06119249,chr9,95002721
cg05004447,chr1,83103251
cg09530155,chr8,124636081
cg01835232,chr16,88567670
cg15644922,chr3,136983379
cg18207099,chr7,2175155
cg00767185,chr19,56216340
cg04856205,chr1,102854121
cg14028368,chr8,42386028
cg25015598,chr1,150766833
cg01472317,chr16,89124291
cg05417884,chr22,46264740
cg22412649,chr13,24162430
cg18359129,chr15,98892971
cg07016261,chr18,10707088
cg17774528,chr16,57518850
cg03629740,chr22,29814252
cg16791016,chr16,85321012
cg03701381,chr5,14055341
cg07012578,chr11,48147121
cg26574794,chr1,150809325
cg14098684,chr6,160005062
cg00810908,chr3,13570819
cg01227344,chr10,30654631
cg10177295,chr3,159672536
cg27023759,chr1,19350351
cg02846713,chr6,38044470
cg19901866,chr22,17083725
cg23194433,chr19,7087567
cg10445474,chr1,15072694
cg02307378,chr12,113232489
cg13816049,chr11,45563784
cg08060271,chr6,167306634
cg21528393,chr15,51874738
cg09720595,chr10,4024760
cg15722720,chr15,99724556
cg07890107,chr20,441974
cg10756593,chr10,102831487
cg26557766,chr5,6749367
cg15834062,chr18,3322759
cg09237172,chr13,72773772
cg08153079,chr17,47828346
cg22592256,chr17,46120782
cg19655675,chr3,114625172
cg07242710,chr19,36368553
cg03015200,chr19,10449651
cg22407712,chr18,8681436
cg14413549,chr3,120792426
cg13973674,chr16,67848409
cg12558795,chr7,45939237
cg15244981,chr19,5016296
cg02527496,chr22,39398813
cg24749077,chr14,23298412
cg27512565,chr22,21669795
cg01695412,chr3,196516684
cg23641315,chr6,31860596
cg12290099,chr16,27335745
cg21210549,chr2,14232606
cg27037498,chr7,43643298
cg16391552,chr10,87502449
cg11972851,chr11,65124571
cg23439596,chr14,104606608
cg18309343,chr5,176187581
cg12069423,chr10,15212710
cg06183684,chr21,39011833
cg18907656,chr8,31031409
cg11472981,chr2,165884001
cg18137959,chr10,29026365
cg16353022,chr3,10247428
cg24155294,chr6,79314877
cg08695267,chr18,62844608
cg08527467,chr16,30648037
cg06135449,chr17,28578062
cg09075788,chr13,21320072
cg18977434,chr14,73590439
cg23061676,chr10,96667263
cg09903166,chr17,32348805
cg05751053,chr2,11187011
cg08307098,chr9,93538628
cg16211906,chr2,96579554
cg03214325,chr17,1947245
cg10411087,chr17,28472300
cg17861150,chr1,8365198
cg01688955,chr6,43041060
cg08283566,chr19,52860229
cg03006332,chr6,33777191
cg08549034,chr2,25879210
cg03954280,chr17,81463920
cg21979168,chr2,98747949
cg19310953,chr13,20700738
cg06599250,chr19,36138706
cg20292128,chr10,113157956
cg18005217,chr10,132782798
cg04366367,chr17,82050665
cg01532946,chr8,28699073
cg16370537,chr7,157577603
cg06850416,chr5,176268766
cg24446610,chr1,6074278
cg22007470,chr6,142838513
cg03725899,chr1,246806008
cg25642974,chr6,143863281
cg23739726,chr20,36782463
cg16169732,chr4,131379434
cg05005521,chr16,74322676
cg26590939,chr17,77493395
cg09634469,chr22,20774123
cg09893754,chr16,48930406
cg12210878,chr5,1464206
cg21902275,chr17,17135914
cg00306284,chr17,18952000
cg06550991,chr10,124804860
cg00589760,chr5,138827554
cg21219930,chr12,122686442
cg11212299,chr18,74947580
cg26966434,chr11,65708738
cg17325309,chr17,62670494
cg09159519,chr14,102044400
cg03272264,chr11,71537695
cg10892794,chr18,70207195
cg00403202,chr7,66886599
cg15172514,chr6,31510459
cg15295253,chr2,199805464
cg02570298,chr13,53044691
cg18106923,chr2,122532005
cg19398701,chr2,71526100
cg09595044,chr6,29458355
cg03169170,chr16,67665045
cg16537164,chr16,88006297
cg14596713,chr3,47378078
cg14022313,chr17,81463991
cg20703481,chr12,76138133
cg09446895,chr2,231144996
cg11151347,chr16,9169034
cg03832740,chr22,40632972
cg25922353,chr14,65410019
cg01625849,chr22,38090511
cg17651140,chr1,40083548
cg07491953,chr6,136148915
cg10266195,chr18,79968073
cg19722021,chr1,162752702
cg15227887,chr1,41512174
cg20725880,chr3,160677931
cg07233389,chr9,109323254
cg25193319,chr15,40767816
cg04056757,chr17,75365622
cg13683394,chr13,27544813
cg08128523,chr4,78585003
cg19446589,chr2,63041496
cg03907313,chr12,48693766
cg17697739,chr6,1873106
cg01332198,chr7,94509235
cg03614452,chr6,53497242
cg23169059,chr6,167347716
cg19140575,chr2,218692378
cg03607648,chr2,233760284
cg11353849,chr17,79979096
cg11690249,chr5,154892469
cg19754694,chr7,131041508
cg13511842,chr12,10219757
cg11534481,chr7,127856525
cg17264919,chr6,150333478
cg09010802,chr1,156806879
cg05708801,chr1,55822666
cg14611223,chr9,129728332
cg13519157,chr17,79865104
cg08441248,chr7,48455618
cg17549097,chr13,99383519
cg07951968,chr5,149391257
cg02890044,chr1,173602169
cg20200361,chr2,43548749
cg25984601,chr5,168844893
cg00902429,chr6,16722588
cg11187464,chr15,64136257
cg08774267,chr2,10083720
cg06494955,chr7,30173226
cg26056477,chr12,76569388
cg10284266,chr13,114152073
cg05248223,chr22,17891942
cg22418953,chr2,142876362
cg16793063,chr3,100557127
cg10338263,chr2,197478176
cg18227776,chr8,70151459
cg05295594,chr7,148851244
cg04395422,chr17,77495943
cg05764011,chr10,363601
cg18830952,chr12,132122224
cg02878913,chr10,103657430
cg06833102,chr2,161239800
cg17830120,chr15,50497340
cg21074877,chr14,23012759
cg25832927,chr14,99384073
cg23882633,chr20,15523678
cg27255505,chr3,73688265
cg07680042,chr11,12181747
cg18069403,chr3,112846804
cg16562756,chr17,8474097
cg14351767,chr9,37442140
cg01349792,chr16,57627605
cg04586748,chr11,114242325
cg00804055,chr21,29642860
cg00553917,chr21,38341651
cg11382414,chr10,87816075
cg05189253,chr14,91288987
cg09448103,chr9,90095653
cg04833648,chr4,17611454
cg05705822,chr14,31687733
cg06061466,chr9,129053190
cg04478223,chr5,50403892
cg12880047,chr15,90907434
cg01188623,chr17,8556264
cg11298262,chr20,57434936
cg13747137,chr15,100124639
cg17066338,chr5,140496224
cg18199581,chr13,113320192
cg04819539,chr12,57773767
cg26819160,chr11,2376367
cg15701956,chr10,1052886
cg23127434,chr2,183015362
cg03437916,chr15,41263600
cg08913969,chr5,80596177
cg20430237,chr3,52211434
cg13632716,chr2,210029396
cg17013870,chr8,81686889
cg14733637,chr5,1342085
cg19141677,chr1,95118802
cg14651842,chr4,168501687
cg00620801,chr1,236550407
cg14609682,chr5,79961979
cg06868699,chr17,61110523
cg14091896,chr9,134775497
cg19502620,chr10,11579472
cg11842995,chr22,27792736
cg02852450,chr8,124150369
cg14330713,chr17,38699991
cg23949474,chr7,151340605
cg16009387,chr1,109628709
cg05307477,chr10,117197292
cg00641420,chr14,72549347
cg05355346,chr8,116765126
cg01801951,chr6,87329786
cg06272498,chr5,14612436
cg01613870,chr6,144278934
cg23608297,chr13,73995966
cg24523456,chr21,36990860
cg23155318,chr8,132877625
cg07990790,chr2,69077145
cg26723698,chr15,92162838
cg25696000,chr3,66503520
cg15373896,chr5,25567703
cg13871037,chr6,32840118
cg16316720,chr1,168044971
cg13436907,chr9,94929593
cg15883588,chr9,86259889
cg04617896,chr17,76810857
cg00851439,chr19,41289617
cg16457675,chr8,106770349
cg03544453,chr3,125050655
cg12963168,chr14,72459597
cg04272710,chr11,18189487
cg05441372,chr13,113531683
cg21767504,chr6,96520747
cg12918812,chr15,77253721
cg09920353,chr5,38943434
cg11526367,chr4,123093475
cg18521305,chr8,141306762
cg09006117,chr15,71511783
cg17231424,chr9,104692885
cg04662250,chr17,21254187
cg09156014,chr6,46863432
cg26842151,chr3,184815968
cg05090335,chr17,45030265
cg02385556,chr3,33856068
cg23640625,chr1,54191073
cg07312480,chr1,161402905
cg14521552,chr15,25066984
cg06349632,chr20,33561531
cg15178346,chr11,47309538
cg25091766,chr9,71754436
cg18570262,chr19,10927295
cg03206533,chr19,38731619
cg16985363,chr12,132694793
cg22649290,chr2,85891741
cg09164585,chr8,102853230
cg21950208,chr15,74002127
cg22633057,chr7,35786917
cg08990402,chr8,53317084
cg03650192,chr20,62402489
cg04733773,chr6,143803368
cg03691560,chr14,63735872
cg03244325,chr14,61078101
cg25319365,chr20,33333256
cg25188942,chr8,4125479
cg20231613,chr11,9246119
cg11783616,chr11,57758224
cg02747184,chr3,71373316
cg07896461,chr9,20873534
cg13807341,chr11,118575269
cg26974441,chr16,88613477
cg18970573,chr12,121513013
cg26679158,chr6,110354853
cg24241192,chr15,70024683
cg26917480,chr17,30920875
cg12897634,chr12,44019291
cg23098051,chr17,19745533
cg10370687,chr16,89250945
cg21322417,chr16,53257116
cg26997258,chr4,16038066
cg21076221,chr2,70253034
cg25689647,chr3,136987575
cg01161919,chr16,30739221
cg26285037,chr6,33266458
cg09934808,chr11,47095717
cg01015647,chr22,35752831
cg01887807,chr15,78210314
cg08693792,chr2,120028804
cg04249234,chr4,65501779
cg02414586,chr19,10224517
cg19447629,chr12,82373080
cg06859941,chr21,42424239
cg07792422,chr15,50347781
cg19455292,chr2,212831380
cg13115114,chr7,140344153
cg19519626,chr19,35853391
cg24455985,chr2,43727961
cg00499393,chr17,67281944
cg07643762,chr4,74308363
cg00387390,chr11,114228908
cg08889593,chr1,154595871
cg24968176,chr7,98912100
cg16029289,chr22,49834074
cg27528787,chr9,128176840
cg11307865,chr12,27434242
cg15609002,chr1,200664069
cg05869757,chr1,54520723
cg08685688,chr11,118969014
cg07764575,chr19,38360352
cg02282369,chr17,49093188
cg17113508,chr2,9307882
cg04648346,chr5,36220771
cg00601648,chr8,130962341
cg02658686,chr12,100901714
cg13868204,chr10,119527963
cg15241549,chr7,2593494
cg14671328,chr17,63856682
cg08264118,chr18,12070529
cg15103180,chr5,151917224
cg03325095,chr1,214430206
cg19777318,chr6,31166386
cg02505681,chr19,39124645
cg16246442,chr19,40206180
cg13361585,chr1,246796174
cg14342106,chr11,57302172
cg02032892,chr2,241645671
cg20626840,chr2,37973868
cg20221991,chr17,58154386
cg24399614,chr8,100264298
cg25715256,chr10,70444224
cg11582816,chr17,55653028
cg11986875,chr16,69652948
cg20537554,chr10,124510324
cg07658854,chr5,28810006
cg02714677,chr4,73066986
cg01292139,chr11,34619521
cg00590830,chr1,31919623
cg06045746,chr8,102235128
cg25748112,chr10,53786439
cg03333838,chr13,50843974
cg09407712,chr7,139716488
cg21726840,chr19,8490285
cg17340574,chr7,108597525
cg13371675,chr5,666592
cg01302067,chr14,21487021
cg24755033,chr7,83160057
cg16043223,chr6,3990795
cg01202012,chr22,46852951
cg21921661,chr2,3468529
cg06660732,chr22,39965115
cg21819383,chr2,46167986
cg14714867,chr10,18233806
cg20384732,chr3,195874504
cg16514287,chr3,140955980
cg17367243,chr17,72805570
cg17439158,chr4,76614345
cg06420074,chr10,35424766
cg22900787,chr10,67838800
cg06558374,chr14,21613746
cg02165323,chr12,451091
cg04261102,chr1,174383546
cg24312865,chr10,131954153
cg04393041,chr2,14904722
cg02858506,chr6,11368468
cg00123747,chr17,2103330
cg13115444,chr11,66571728
cg25502179,chr3,46833852
cg14378480,chr1,84398505
cg13781408,chr17,81121900
cg16672277,chr8,28859699
cg10009514,chr1,214392830
cg10658307,chr11,95337944
cg14210622,chr10,109890219
cg02907865,chr17,17878978
cg13263472,chr14,102126819
cg05461375,chr15,63585491
cg26972183,chr2,134839987
cg26833950,chr12,53869831
cg22540410,chr10,110735464
cg16262553,chr3,75786809
cg04954757,chr17,903881
cg09508632,chr8,70376843
cg16147695,chr19,18485364
cg00254338,chr12,26573087
cg04368945,chr20,32545838
cg10561083,chr5,178472384
cg09867452,chr4,6663368
cg18776313,chr5,41072042
cg10974817,chr6,166498899
cg20677157,chr17,80367802
cg20465758,chr18,49094887
cg24824245,chr12,22045791
cg23412143,chr19,41813686
cg02716406,chr1,29364370
cg27568306,chr17,48059435
cg26450149,chr7,47336305
cg16224750,chr9,94154312
cg18144632,chr11,2943609
cg22832489,chr12,132029963
cg06161753,chr11,114254622
cg27438225,chr7,157087825
cg11070119,chr2,239139779
cg13724248,chr7,1575698
cg10258241,chr2,52629613
cg23857447,chr6,150842858
cg14215919,chr13,99024234
cg27443662,chr6,34430199
cg15422419,chr17,6995270
cg15012247,chr22,40275441
cg07263372,chr3,12898787
cg04294894,chr6,160259066
cg18085117,chr10,124046698
cg08868381,chr3,182864987
cg03257180,chr1,25700254
cg01578654,chr3,8931556
cg20471241,chr18,49817764
cg07770749,chr7,48030318
cg09607268,chr4,56408909
cg02213341,chr16,66676564
cg25601830,chr1,19304030
cg15457689,chr11,4115211
cg15504909,chr14,65241567
cg06292482,chr3,182981801
cg19308367,chr1,33351678
cg21019500,chr11,87239293
cg04061148,chr8,141187517
cg13681325,chr2,86793254
cg21331335,chr9,2717325
cg25808878,chr4,82621666
cg16102939,chr14,103942507
cg16910047,chr4,39366991
cg18798446,chr12,103469002
cg17541865,chr1,20451337
cg11822784,chr10,113945231
cg05235903,chr1,35220740
cg00001755,chr17,50869429
cg16627489,chr16,84662143
cg09581065,chr17,82696795
cg19613533,chr1,239901005
cg03087622,chr16,31392362
cg00440023,chr17,1174350
cg24451843,chr2,159030606
cg00694440,chr6,33856252
cg18117326,chr18,20937553
cg08566499,chr1,20941896
cg14865284,chr7,105047563
cg03393126,chr5,160348254
cg02967056,chr3,112134468
cg01704947,chr15,40355821
cg11527168,chr12,65495181
cg05816924,chr18,35943050
cg00225221,chr10,80332929
cg25709481,chr8,38401742
cg18195862,chr7,1411649
cg27372181,chr16,53397159
cg21837433,chr6,81787188
cg01514272,chr11,66557817
cg18477299,chr12,88137952
cg02317397,chr17,3812985
cg05215748,chr17,6995419
cg12201064,chr6,57314240
cg07590112,chr2,117997554
cg04865082,chr2,73090018
cg08554365,chr21,44333629
cg01379428,chr5,181263431
cg02003733,chr5,141134799
cg21628661,chr1,26772939
cg27493581,chr4,174286355
cg03553824,chr7,152377319
cg11463046,chr6,26318815
cg20772493,chr11,124640909
cg24049084,chr19,36943940
cg14487926,chr17,62780446
cg13478974,chr12,112307203
cg13956645,chr4,763597
cg25362834,chr10,72004693
cg14511498,chr3,115781820
cg25027698,chr3,132627252
cg08103472,chr15,40439126
cg13673375,chr7,102406315
cg16717768,chr17,19461948
cg16466334,chr11,102843627
cg21464975,chr17,62750899
cg11541404,chr7,44037407
cg27340796,chr16,27470668
cg15893184,chr12,1043334
cg14409461,chr14,91458677
cg22309949,chr3,46750702
cg16336446,chr1,107689789
cg00470154,chr7,66579700
cg08630465,chr3,134349792
cg00297969,chr21,43954412
cg16169949,chr2,231258848
cg06688875,chr20,1443680
cg01711850,chr13,80152171
cg10319943,chr16,90048605
cg21775370,chr20,19964983
cg12747742,chr17,9802412
cg24412650,chr12,8608262
cg07106911,chr12,113337909
cg12581019,chr15,65265736
